,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CRIP1,4.97687448809184e-33,-0.304471573984607,0.589,0.642,1.08366465103712e-28
FHIT,1.17240931620409e-32,1.18050103125792,0.055,0.026,2.55280404510278e-28
SNX9,1.24578618165607e-32,0.520300006325511,0.223,0.167,2.71257483193793e-28
GSTM4,1.29373792708959e-32,-1.03309175429396,0.025,0.051,2.81698496244488e-28
S100B,3.78178762505387e-32,1.43283453147343,0.049,0.022,8.2344643747923e-28
TSC22D4,6.09725943369494e-32,-0.33566597052745,0.301,0.364,1.32761726909274e-27
PSME2,6.24260627022149e-32,-0.305569682109635,0.451,0.508,1.35926508927803e-27
SYAP1,9.0396108391728e-32,0.437794672140171,0.257,0.199,1.96828486412149e-27
PDE4D,1.50507447942465e-31,0.396334129014178,0.268,0.208,3.27714917149923e-27
TYMP,1.96160843499405e-31,-0.498389537916043,0.203,0.26,4.27120620635605e-27
SELENOK,2.11909164670999e-31,0.313390588363551,0.457,0.398,4.61411015154634e-27
CLEC12A,3.05084865001074e-31,-0.688089274706518,0.066,0.104,6.64291785053338e-27
PDE4B,3.83914604951841e-31,0.427158909988576,0.28,0.221,8.35935660822138e-27
MX1,4.48837605590452e-31,-0.675708469213928,0.125,0.172,9.77299002412651e-27
KLF10,7.15750573569733e-31,-0.489798273522366,0.145,0.195,1.55847529889074e-26
OAZ1,1.37180762673487e-30,-0.20762727354328,0.783,0.811,2.98697392645251e-26
MYL12A,1.80677491569673e-30,-0.204422793887322,0.808,0.825,3.93407170143806e-26
IFI6,2.59401708062127e-30,-0.619102462721477,0.198,0.25,5.64821279134476e-26
ISCA1,2.93325104053809e-30,0.416506547829328,0.253,0.196,6.38686081566763e-26
CFL1,3.22169790159982e-30,-0.138082587255138,0.919,0.933,7.01492501094344e-26
MS4A6A,3.27930397294562e-30,-0.829280032636913,0.091,0.131,7.1403564706918e-26
SH3BP1,1.96801354426545e-29,-0.362345281258563,0.238,0.297,4.28515269128359e-25
EEF2,1.97680334379408e-29,0.111868513391397,0.98,0.968,4.30429160077722e-25
MYOM2,2.22811357679822e-29,0.873606337713754,0.07,0.039,4.85149450212044e-25
MDGA1,5.08249016665732e-29,-2.35085699933742,0.003,0.015,1.10666140888796e-24
S100A10,5.5867789392233e-29,-0.226670144032858,0.668,0.708,1.21646524622648e-24
GNB2,7.41408848768565e-29,-0.29597076294308,0.366,0.425,1.61434362730867e-24
PIK3IP1,1.00942613224395e-28,0.330911072233458,0.474,0.423,2.19792446034797e-24
PYCARD,1.06738915421493e-28,-0.478540233951866,0.204,0.256,2.32413314438759e-24
ARPC3,1.16761220833498e-28,-0.172271598957133,0.741,0.773,2.54235882242858e-24
M6PR,1.42962501836244e-28,-0.346575570859515,0.252,0.309,3.11286551498237e-24
RHOB,1.76169171309469e-28,-0.617624744074102,0.168,0.216,3.83590753609237e-24
AC007952.4,2.03921020923155e-28,-0.700944827544117,0.133,0.178,4.44017630958077e-24
CD74,4.72915812570905e-28,-0.121332301832292,0.715,0.783,1.02972689029189e-23
MTFP1,9.96451664526931e-28,0.447579730766785,0.212,0.161,2.16967385434094e-23
AC020656.1,1.25425380983846e-27,-0.886355452499756,0.06,0.093,2.73101224554227e-23
SOCS1,1.41769460916984e-27,0.593202867794222,0.122,0.082,3.08688824200642e-23
SRSF7,1.89681582477814e-27,0.225627364345666,0.654,0.608,4.13012677687191e-23
CHD1,3.83082325235839e-27,0.314609027868066,0.344,0.286,8.34123454968515e-23
C20orf204,3.99964951671565e-27,2.25705948647738,0.019,0.004,8.70883685769666e-23
ACTG1,4.0875488843664e-27,-0.156111288570588,0.925,0.941,8.90022894081939e-23
GABARAP,8.05488647972898e-27,-0.245656973949351,0.665,0.703,1.75387098209619e-22
YPEL5,1.05030057950743e-26,0.306534363232031,0.449,0.394,2.28692448181948e-22
DYNLL1,1.07892081220058e-26,-0.400340414284021,0.172,0.222,2.34924217648554e-22
RGS19,1.21080285897066e-26,-0.349242225411459,0.222,0.276,2.63640214512271e-22
HCST,1.4149511964298e-26,-0.189568796474119,0.676,0.72,3.08091473510624e-22
EPSTI1,1.56850234478462e-26,-0.544597788569064,0.112,0.155,3.41525700553404e-22
DIP2A,2.09671486997861e-26,0.393172218249171,0.241,0.189,4.56538695789143e-22
OAS1,3.29511053569082e-26,-0.676268500812948,0.057,0.09,7.17477368041319e-22
NR4A3,3.58591860974202e-26,0.733048424108743,0.102,0.066,7.80797918085228e-22
POLR2J2,4.32186271743281e-26,1.04788669260077,0.044,0.021,9.41042388093819e-22
CD151,4.3915208525855e-26,-0.64471063301897,0.065,0.1,9.56209750441966e-22
SYNGR1,4.39825097593377e-26,0.750385627060277,0.091,0.057,9.5767516749982e-22
ZFP36L2,4.89597556621325e-26,0.132563961990346,0.928,0.927,1.06604971978727e-21
AC243829.1,5.07974292281031e-26,-1.84731404214918,0.005,0.018,1.10606322401272e-21
YWHAB,7.18311323798804e-26,-0.184286002185484,0.691,0.732,1.56405107643952e-21
DDX24,1.31779570733446e-25,0.267563491919454,0.436,0.378,2.86936837315006e-21
S100A8,1.54027855609562e-25,-0.539607571758042,0.127,0.17,3.3538025280426e-21
TC2N,2.51679900338406e-25,0.32573890537362,0.301,0.246,5.48007814996846e-21
PPP1CA,3.27225815631397e-25,-0.249932196120195,0.448,0.502,7.12501490955805e-21
GABARAPL1,3.82301910752741e-25,0.380329625144556,0.295,0.244,8.32424180473018e-21
EIF4B,3.93946633129194e-25,0.165518280373931,0.705,0.656,8.57779398975508e-21
PSMB9,4.2135261862071e-25,-0.271099252006876,0.459,0.509,9.17453191784734e-21
GBP5,4.39183585803281e-25,-0.455642708869918,0.174,0.221,9.56278339728064e-21
NFE2L2,6.10029346099842e-25,0.394648878414618,0.267,0.216,1.3282778981978e-20
IFI44,6.94792834089936e-25,-0.661209354006454,0.065,0.098,1.51284191694743e-20
SEC14L2,8.44433596952579e-25,0.931853593745679,0.059,0.032,1.83866971400455e-20
HLX,9.82487456419549e-25,-1.31627676762728,0.014,0.031,2.13926818760793e-20
C15orf48,1.11352171253252e-24,2.30802961826988,0.02,0.005,2.4245821768683e-20
CLEC7A,1.12873700014536e-24,-0.692849344386803,0.093,0.13,2.4577119441165e-20
EMP3,1.83347001850744e-24,-0.179774343544127,0.637,0.681,3.99219761829811e-20
SC5D,2.94529290172614e-24,0.614301251450279,0.109,0.073,6.4130807642185e-20
MT-ND5,3.08145685455398e-24,0.104273104845769,0.991,0.989,6.70956415510584e-20
XAF1,3.19167046350789e-24,-0.432945662318319,0.16,0.206,6.94954326724208e-20
RNASEK,3.79070614595471e-24,-0.176790022043899,0.613,0.664,8.25388356220178e-20
PKM,1.17231019311247e-23,-0.24641023025473,0.486,0.534,2.5525882144831e-19
AC020916.1,1.62494794872369e-23,-0.713405707246817,0.123,0.162,3.53816166355097e-19
CYP4V2,1.67828069810779e-23,-0.639128064403698,0.054,0.084,3.65428839205989e-19
STAT1,2.09003904167015e-23,-0.395943944786181,0.21,0.257,4.55085100933258e-19
EREG,2.62698968116054e-23,1.19740623493225,0.056,0.031,5.72000733175897e-19
S100A4,2.96482861555383e-23,-0.212132085479215,0.729,0.761,6.4556178275069e-19
ZYX,3.45133210700111e-23,-0.272709418731748,0.422,0.47,7.51493052978422e-19
