,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CDK5R1,0.0564661366082392,-0.221912258264222,0.011,0.013,1
CPEB2,0.0565609515914488,-0.171654713141946,0.022,0.025,1
TBC1D9,0.0567401127225595,-0.147608343499422,0.03,0.033,1
HLA-DOA,0.0568751619708559,0.142614118336071,0.041,0.038,1
TESMIN,0.056977202119019,0.233683580317886,0.012,0.01,1
PDCD11,0.0569988498432636,-0.136253542917893,0.04,0.043,1
PDLIM1,0.0571137044345042,-0.159360640985509,0.066,0.07,1
TAX1BP3,0.0571326203523927,-0.114120820051997,0.043,0.046,1
APH1B,0.0572366733651907,0.11584149316229,0.042,0.039,1
POLR3B,0.0573181300463465,0.209847499091829,0.015,0.013,1
CLPB,0.0573557519079883,-0.160331303096329,0.024,0.027,1
LGMN,0.0574262134488106,0.142166261842132,0.018,0.016,1
AFDN,0.0579076828734778,0.233238166593789,0.011,0.009,1
ZEB2-AS1,0.0580575064577163,-0.131895521779972,0.022,0.025,1
